Simulation,Category,Object,Parameter,Data File
DAY_AHEAD,Generator,16_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,16_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,16_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,16_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,17_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,17_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,17_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,17_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,18_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,18_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,18_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,18_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,19_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,19_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,19_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,19_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,2_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,2_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,2_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,2_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,20_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,20_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,20_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,20_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,21_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,21_PV,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,21_PV,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,21_PV,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,22_PV,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,22_PV,PMax MW,DAY_AHEAD_renewables.csv
