Year,Month,Day,Period,Hydro_R1,Hydro_R2,Hydro_R3,Wind_R1,Wind_R2,Wind_R3,Solar_R1,Solar_R2,Solar_R3,Dynamic_Hydro_R3,Dynamic_Hydro_R2,Dynamic_Hydro_R1,Dynamic_Solar_R1,Dynamic_Solar_R2,Dynamic_Solar_R3
2020,2,2,22,1082.59,7443.7,1897.5,3972.39,1136.6,794.3,9147.55,3533.94,4218.9,515.7602115915464,3980.3967837210953,578.8972895319022,0.0,0.0,0.0
2020,2,2,23,1082.59,7443.7,1897.5,3972.39,1136.6,794.3,9147.55,3533.94,4218.9,515.7602115915464,3980.3967837210953,578.8972895319022,0.0,0.0,0.0
2020,2,2,24,1082.59,7443.7,1897.5,3972.39,1136.6,794.3,9147.55,3533.94,4218.9,515.7602115915464,3980.3967837210953,578.8972895319022,0.0,0.0,0.0
2020,2,3,1,1082.59,7443.7,1897.5,3972.39,1136.6,794.3,9147.55,3533.94,4218.9,515.7602115915464,3980.3967837210953,578.8972895319022,0.0,0.0,0.0
2020,2,3,2,1082.59,7443.7,1897.5,3972.39,1136.6,794.3,9147.55,3533.94,4218.9,515.7602115915464,3980.3967837210953,578.8972895319022,0.0,0.0,0.0
2020,2,3,3,1082.59,7443.7,1897.5,3972.39,1136.6,794.3,9147.55,3533.94,4218.9,515.7602115915464,3980.3967837210953,578.8972895319022,0.0,0.0,0.0
2020,2,3,4,1082.59,7443.7,1897.5,3972.39,1136.6,794.3,9147.55,3533.94,4218.9,515.7602115915464,3980.3967837210953,578.8972895319022,0.0,0.0,0.0
2020,2,3,5,1082.59,7443.7,1897.5,3972.39,1136.6,794.3,9147.55,3533.94,4218.9,515.7602115915464,3980.3967837210953,578.8972895319022,0.0,0.0,0.0
2020,2,3,6,1082.59,7443.7,1897.5,3972.39,1136.6,794.3,9147.55,3533.94,4218.9,515.7602115915464,3980.3967837210953,578.8972895319022,0.0,0.0,0.0
2020,2,3,7,1082.59,7443.7,1897.5,3972.39,1136.6,794.3,9147.55,3533.94,4218.9,515.7602115915464,3980.3967837210953,578.8972895319022,0.0,0.0,0.0
2020,2,3,8,1082.59,7443.7,1897.5,3972.39,1136.6,794.3,9147.55,3533.94,4218.9,515.7602115915464,3980.3967837210953,578.8972895319022,0.0,0.0,0.0
2020,2,3,9,1082.59,7443.7,1897.5,3972.39,1136.6,794.3,9147.55,3533.94,4218.9,515.7602115915464,3980.3967837210953,578.8972895319022,468.62555233713863,181.0424194922474,216.1326631453399
2020,2,3,10,1082.59,7443.7,1897.5,3972.39,1136.6,794.3,9147.55,3533.94,4218.9,515.7602115915464,3980.3967837210953,578.8972895319022,1099.8672885784063,424.9077628216051,507.2647980916681
2020,2,3,11,1082.59,7443.7,1897.5,3972.39,1136.6,794.3,9147.55,3533.94,4218.9,515.7602115915464,3980.3967837210953,578.8972895319022,1450.0376015221218,560.1877968989606,668.7652581359686
2020,2,3,12,1082.59,7443.7,1897.5,3972.39,1136.6,794.3,9147.55,3533.94,4218.9,515.7602115915464,3980.3967837210953,578.8972895319022,1035.444263645141,400.0194479468393,477.55254728233086
2020,2,3,13,1082.59,7443.7,1897.5,3972.39,1136.6,794.3,9147.55,3533.94,4218.9,515.7602115915464,3980.3967837210953,578.8972895319022,356.9243397512353,137.88929289487137,164.61545408076333
2020,2,3,14,1082.59,7443.7,1897.5,3972.39,1136.6,794.3,9147.55,3533.94,4218.9,515.7602115915464,3980.3967837210953,578.8972895319022,3733.937743511103,1442.5187016527516,1722.1124723121482
