Simulation,Category,Object,Parameter,Data File
DAY_AHEAD,Generator,6_WIND,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,6_WIND,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,6_WIND,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,6_WIND,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,1_WIND,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,1_WIND,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,1_WIND,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,1_WIND,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,12_WIND,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,12_WIND,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,12_WIND,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,12_WIND,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,8_WIND,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,8_WIND,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,8_WIND,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,8_WIND,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,3_WIND,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,3_WIND,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,3_WIND,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,3_WIND,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,4_WIND,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,4_WIND,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,4_WIND,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,4_WIND,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,7_WIND,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,7_WIND,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,7_WIND,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,7_WIND,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,1_HYDRO,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,1_HYDRO,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,1_HYDRO,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,1_HYDRO,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,10_HYDRO,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,10_HYDRO,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,10_HYDRO,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,10_HYDRO,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,2_HYDRO,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,2_HYDRO,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,2_HYDRO,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,2_HYDRO,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,3_HYDRO,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,3_HYDRO,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,3_HYDRO,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,3_HYDRO,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,4_HYDRO,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,4_HYDRO,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,4_HYDRO,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,4_HYDRO,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,5_HYDRO,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,5_HYDRO,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,5_HYDRO,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,5_HYDRO,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,6_HYDRO,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,6_HYDRO,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,6_HYDRO,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,6_HYDRO,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,7_HYDRO,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,7_HYDRO,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,7_HYDRO,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,7_HYDRO,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,9_HYDRO,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,9_HYDRO,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,9_HYDRO,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,9_HYDRO,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,11_HYDRO,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,11_HYDRO,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,11_HYDRO,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,11_HYDRO,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,8_HYDRO,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,8_HYDRO,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,8_HYDRO,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,8_HYDRO,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,1_PV-c,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,1_PV-c,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,1_PV-c,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,1_PV-c,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,10_PV-c,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,10_PV-c,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,10_PV-c,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,10_PV-c,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,11_PV-c,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,11_PV-c,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,11_PV-c,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,11_PV-c,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,2_PV-c,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,2_PV-c,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,2_PV-c,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,2_PV-c,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,3_PV-c,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,3_PV-c,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,3_PV-c,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,3_PV-c,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,4_PV-c,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,4_PV-c,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,4_PV-c,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,4_PV-c,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,5_PV-c,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,5_PV-c,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,5_PV-c,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,5_PV-c,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,6_PV-c,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,6_PV-c,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,6_PV-c,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,6_PV-c,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,7_PV-c,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,7_PV-c,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,7_PV-c,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,7_PV-c,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,8_PV-c,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,8_PV-c,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,8_PV-c,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,8_PV-c,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,9_PV-c,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,9_PV-c,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,9_PV-c,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,9_PV-c,PMax MW,REAL_TIME_renewables.csv
DAY_AHEAD,Generator,10_WIND-c,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,10_WIND-c,PMax MW,DAY_AHEAD_renewables.csv
REAL_TIME,Generator,10_WIND-c,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,10_WIND-c,PMax MW,REAL_TIME_renewables.csv
