GEN UID,Bus ID,Unit Type,Fuel,MW Inj,MVAR Inj,V Setpoint p.u.,PMax MW,PMin MW,QMax MVAR,QMin MVAR,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Fuel Price $/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,HR_incr_4
5_CT,5,CT,C,0,0,1,1857.6,835.9199777,13,-13,0,0,99.27054153,9999,9999,9999,,0,9999,7681.938015,2.169001,0.5,1,,,25.41864234,12.0345094,,,
5_HYDRO,5,HYDRO,H,0,0,1,3161,278.6878587,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
5_LFILL,5,LFILL,G,0,0,1,25.6,25.6,13,-13,6,7,3.555555558,9999,9999,9999,,0,9999,76.63848812,2.677787,0.5,1,,,0,0,,,
5_PV,5,PV,S,0,0,1,1015,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
5_WIND,5,WIND,W,0,0,1,157.5335,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
6_HYDRO,6,HYDRO,H,0,0,1,103,19.51335,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
6_PV,6,PV,S,0,0,1,232.3636364,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
6_WIND,6,WIND,W,0,0,1,37.3248,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
7_HYDRO,7,HYDRO,H,0,0,1,215,53.78412523,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
7_PV,7,PV,S,0,0,1,36.54545455,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
7_WIND,7,WIND,W,0,0,1,0.237180524,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
8_CT,8,CT,C,0,0,1,15,6.74999982,13,-13,0,0,0.80160321,9999,9999,9999,,0,9999,172.3758452,2.169001,0.5,1,,,26.11195159,12.36275811,,,
8_HYDRO,8,HYDRO,H,0,0,1,117,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
8_PV,8,PV,S,0,0,1,100.0909091,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
8_WIND,8,WIND,W,0,0,1,29.6179346,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
9_BIO,9,BIO,B,0,0,1,78.4,78.4,13,-13,7,7,10.8888889,9999,9999,9999,,0,9999,177.0097313,0,0.5,1,,,0,0,,,
9_CC,9,CC,G,0,0,1,11086.8,6097.739845,13,-13,8,6,94.96277694,9999,9999,9999,,0,9999,30659.67505,2.677787,0.5,1,,,155.9627643,6.84376265,,,
9_CT,9,CT,C,0,0,1,11177.42862,5029.842743,13,-13,0,0,597.3241772,9999,9999,9999,,0,9999,19404.9045,2.169001,0.5,1,,,25.24589364,11.95272116,,,
9_HYDRO,9,HYDRO,H,0,0,1,5094,34.94928942,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
9_LFILL,9,LFILL,G,0,0,1,60.4,60.4,13,-13,6,7,8.388888896,9999,9999,9999,,0,9999,126.469029,2.677787,0.5,1,,,0,0,,,
9_OGS,9,OGS,G,0,0,1,268.8,120.9599968,13,-13,1,1,14.36472952,9999,9999,9999,,0,9999,2839.426318,2.677787,0.5,1,,,0,0,,,
9_PV,9,PV,S,0,0,1,10122.18182,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
9_WIND,9,WIND,W,0,0,1,4356.6562,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
5_CC-c,5,CC,G,0,0,1,2497.8,1373.789965,13,-13,8,6,21.39463364,9999,9999,9999,,0,9999,35027.22061,2.677787,0.5,1,,,156.5168387,6.86807585,,,
5_CT-c,5,CT,C,0,0,1,1857.6,835.9199777,13,-13,0,0,99.27054153,9999,9999,9999,,0,9999,7681.938015,2.169001,0.5,1,,,25.41864234,12.0345094,,,
8_CT-c,8,CT,C,0,0,1,15,6.74999982,13,-13,0,0,0.80160321,9999,9999,9999,,0,9999,172.3758452,2.169001,0.5,1,,,26.11195159,12.36275811,,,
9_CC-c,9,CC,G,0,0,1,11086.8,6097.739845,13,-13,8,6,94.96277694,9999,9999,9999,,0,9999,30659.67505,2.677787,0.5,1,,,155.9627643,6.84376265,,,
9_CT-c,9,CT,C,0,0,1,11177.42862,5029.842743,13,-13,0,0,597.3241772,9999,9999,9999,,0,9999,19404.9045,2.169001,0.5,1,,,25.24589364,11.95272116,,,
10_NUC,10,NUC,N,0,0,1,2150,2150,13,-13,48,48,6.86,9999,9999,9999,,0,9999,247966.46,0.678339,0.5,1,,,0,0,,,
2_NUC,2,NUC,N,0,0,1,1163,1163,13,-13,48,48,3.72,9999,9999,9999,,0,9999,135237.5,0.678339,0.5,1,,,0,0,,,
9_NUC,9,NUC,N,0,0,1,2240,2240,13,-13,48,48,7.15,9999,9999,9999,,0,9999,259341.76,0.678339,0.5,1,,,0,0,,,
10_WIND-c,10,WIND,W,0,0,1,655.6725,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
1_WIND-c,1,WIND,W,0,0,1,202.9293,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
2_WIND-c,2,WIND,W,0,0,1,9.0153,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
3_WIND-c,3,WIND,W,0,0,1,105.3,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
4_WIND-c,4,WIND,W,0,0,1,126,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
5_WIND-c,5,WIND,W,0,0,1,157.5335,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
