,fips_code,lim_timestamp,case_5b_prob,date
36020,48009,02-10 20:00:00,0.0,02-10
36021,48009,02-10 21:00:00,0.0,02-10
36022,48009,02-10 22:00:00,0.0,02-10
36023,48009,02-10 23:00:00,0.0,02-10
44760,48011,02-10 00:00:00,0.0,02-10
44761,48011,02-10 01:00:00,0.0,02-10
44762,48011,02-10 02:00:00,0.0,02-10
44763,48011,02-10 03:00:00,0.0,02-10
44764,48011,02-10 04:00:00,0.0,02-10
44765,48011,02-10 05:00:00,0.0,02-10
44766,48011,02-10 06:00:00,0.0,02-10
44767,48011,02-10 07:00:00,0.0,02-10
44768,48011,02-10 08:00:00,0.0,02-10
44769,48011,02-10 09:00:00,0.0,02-10
44770,48011,02-10 10:00:00,0.0,02-10
44771,48011,02-10 11:00:00,0.0,02-10
44772,48011,02-10 12:00:00,0.0,02-10
44773,48011,02-10 13:00:00,0.0,02-10
44774,48011,02-10 14:00:00,0.0,02-10
44775,48011,02-10 15:00:00,0.0,02-10
44776,48011,02-10 16:00:00,0.0,02-10
44777,48011,02-10 17:00:00,0.0,02-10
44778,48011,02-10 18:00:00,0.0,02-10
44779,48011,02-10 19:00:00,0.0,02-10
44780,48011,02-10 20:00:00,0.0,02-10
44781,48011,02-10 21:00:00,0.0,02-10
44782,48011,02-10 22:00:00,0.0,02-10
44783,48011,02-10 23:00:00,0.0,02-10
53520,48013,02-10 00:00:00,0.0,02-10
53521,48013,02-10 01:00:00,0.0,02-10
53522,48013,02-10 02:00:00,0.0,02-10
53523,48013,02-10 03:00:00,0.0,02-10
53524,48013,02-10 04:00:00,0.0,02-10
53525,48013,02-10 05:00:00,0.0,02-10
53526,48013,02-10 06:00:00,0.0,02-10
53527,48013,02-10 07:00:00,0.0,02-10
53528,48013,02-10 08:00:00,0.0,02-10
53529,48013,02-10 09:00:00,0.0,02-10
53530,48013,02-10 10:00:00,0.0,02-10
53531,48013,02-10 11:00:00,0.0,02-10
53532,48013,02-10 12:00:00,0.0,02-10
53533,48013,02-10 13:00:00,0.0,02-10
53534,48013,02-10 14:00:00,0.0,02-10
53535,48013,02-10 15:00:00,0.0,02-10
53536,48013,02-10 16:00:00,0.0,02-10
53537,48013,02-10 17:00:00,0.0,02-10
53538,48013,02-10 18:00:00,0.0,02-10
53539,48013,02-10 19:00:00,0.0,02-10
53540,48013,02-10 20:00:00,0.0,02-10
53541,48013,02-10 21:00:00,0.0,02-10
53542,48013,02-10 22:00:00,0.0,02-10
53543,48013,02-10 23:00:00,0.0,02-10
62280,48015,02-10 00:00:00,0.0,02-10
62281,48015,02-10 01:00:00,0.0,02-10
62282,48015,02-10 02:00:00,0.0,02-10
62283,48015,02-10 03:00:00,0.0,02-10
62284,48015,02-10 04:00:00,0.0,02-10
62285,48015,02-10 05:00:00,0.0,02-10
62286,48015,02-10 06:00:00,0.0,02-10
62287,48015,02-10 07:00:00,0.0,02-10
62288,48015,02-10 08:00:00,0.0,02-10
62289,48015,02-10 09:00:00,0.0,02-10
62290,48015,02-10 10:00:00,0.0,02-10
62291,48015,02-10 11:00:00,0.0,02-10
62292,48015,02-10 12:00:00,0.0,02-10
62293,48015,02-10 13:00:00,0.0,02-10
62294,48015,02-10 14:00:00,0.0,02-10
62295,48015,02-10 15:00:00,0.0,02-10
62296,48015,02-10 16:00:00,0.0,02-10
62297,48015,02-10 17:00:00,0.0,02-10
62298,48015,02-10 18:00:00,0.0,02-10
62299,48015,02-10 19:00:00,0.0,02-10
62300,48015,02-10 20:00:00,0.0,02-10
62301,48015,02-10 21:00:00,0.0,02-10
62302,48015,02-10 22:00:00,0.0,02-10
62303,48015,02-10 23:00:00,0.0,02-10
71040,48017,02-10 00:00:00,0.0,02-10
71041,48017,02-10 01:00:00,0.0,02-10
71042,48017,02-10 02:00:00,0.0,02-10
71043,48017,02-10 03:00:00,0.0,02-10
71044,48017,02-10 04:00:00,0.0,02-10
71045,48017,02-10 05:00:00,0.0,02-10
71046,48017,02-10 06:00:00,0.0,02-10
71047,48017,02-10 07:00:00,0.0,02-10
71048,48017,02-10 08:00:00,0.0,02-10
71049,48017,02-10 09:00:00,0.0,02-10
71050,48017,02-10 10:00:00,0.0,02-10
71051,48017,02-10 11:00:00,0.0,02-10
71052,48017,02-10 12:00:00,0.0,02-10
71053,48017,02-10 13:00:00,0.0,02-10
71054,48017,02-10 14:00:00,0.0,02-10
71055,48017,02-10 15:00:00,0.0,02-10
71056,48017,02-10 16:00:00,0.0,02-10
71057,48017,02-10 17:00:00,0.0,02-10
71058,48017,02-10 18:00:00,0.0,02-10
71059,48017,02-10 19:00:00,0.0,02-10
71060,48017,02-10 20:00:00,0.0,02-10
71061,48017,02-10 21:00:00,0.0,02-10
71062,48017,02-10 22:00:00,0.0,02-10
71063,48017,02-10 23:00:00,0.0,02-10
79800,48019,02-10 00:00:00,0.0,02-10
79801,48019,02-10 01:00:00,0.0,02-10
79802,48019,02-10 02:00:00,0.0,02-10
79803,48019,02-10 03:00:00,0.0,02-10
79804,48019,02-10 04:00:00,0.0,02-10
79805,48019,02-10 05:00:00,0.0625,02-10
79806,48019,02-10 06:00:00,0.1041666666666666,02-10
79807,48019,02-10 07:00:00,0.1041666666666666,02-10
79808,48019,02-10 08:00:00,0.1041666666666666,02-10
79809,48019,02-10 09:00:00,0.1041666666666666,02-10
79810,48019,02-10 10:00:00,0.1041666666666666,02-10
79811,48019,02-10 11:00:00,0.1041666666666666,02-10
79812,48019,02-10 12:00:00,0.0972222222222222,02-10
79813,48019,02-10 13:00:00,0.0416666666666666,02-10
79814,48019,02-10 14:00:00,0.0,02-10
79815,48019,02-10 15:00:00,0.0,02-10
79816,48019,02-10 16:00:00,0.0,02-10
79817,48019,02-10 17:00:00,0.0,02-10
79818,48019,02-10 18:00:00,0.0,02-10
79819,48019,02-10 19:00:00,0.0,02-10
79820,48019,02-10 20:00:00,0.0,02-10
79821,48019,02-10 21:00:00,0.0,02-10
79822,48019,02-10 22:00:00,0.0,02-10
79823,48019,02-10 23:00:00,0.0,02-10
88560,48021,02-10 00:00:00,0.0,02-10
88561,48021,02-10 01:00:00,0.0,02-10
88562,48021,02-10 02:00:00,0.0,02-10
88563,48021,02-10 03:00:00,0.0,02-10
88564,48021,02-10 04:00:00,0.0,02-10
88565,48021,02-10 05:00:00,0.0,02-10
88566,48021,02-10 06:00:00,0.0,02-10
88567,48021,02-10 07:00:00,0.0,02-10
88568,48021,02-10 08:00:00,0.0,02-10
88569,48021,02-10 09:00:00,0.0,02-10
88570,48021,02-10 10:00:00,0.0,02-10
88571,48021,02-10 11:00:00,0.0,02-10
88572,48021,02-10 12:00:00,0.0,02-10
88573,48021,02-10 13:00:00,0.0,02-10
88574,48021,02-10 14:00:00,0.0,02-10
88575,48021,02-10 15:00:00,0.0,02-10
88576,48021,02-10 16:00:00,0.0,02-10
88577,48021,02-10 17:00:00,0.0,02-10
88578,48021,02-10 18:00:00,0.0,02-10
88579,48021,02-10 19:00:00,0.0,02-10
88580,48021,02-10 20:00:00,0.0,02-10
88581,48021,02-10 21:00:00,0.0,02-10
88582,48021,02-10 22:00:00,0.0,02-10
88583,48021,02-10 23:00:00,0.0,02-10
97320,48023,02-10 00:00:00,0.0,02-10
97321,48023,02-10 01:00:00,0.0,02-10
97322,48023,02-10 02:00:00,0.0,02-10
97323,48023,02-10 03:00:00,0.0,02-10
97324,48023,02-10 04:00:00,0.0,02-10
97325,48023,02-10 05:00:00,0.0,02-10
97326,48023,02-10 06:00:00,0.0,02-10
97327,48023,02-10 07:00:00,0.0,02-10
97328,48023,02-10 08:00:00,0.0,02-10
97329,48023,02-10 09:00:00,0.0,02-10
97330,48023,02-10 10:00:00,0.0,02-10
97331,48023,02-10 11:00:00,0.0,02-10
97332,48023,02-10 12:00:00,0.0,02-10
97333,48023,02-10 13:00:00,0.0,02-10
97334,48023,02-10 14:00:00,0.0,02-10
97335,48023,02-10 15:00:00,0.0,02-10
97336,48023,02-10 16:00:00,0.0,02-10
97337,48023,02-10 17:00:00,0.0,02-10
97338,48023,02-10 18:00:00,0.0,02-10
97339,48023,02-10 19:00:00,0.0,02-10
97340,48023,02-10 20:00:00,0.0,02-10
97341,48023,02-10 21:00:00,0.0,02-10
97342,48023,02-10 22:00:00,0.0,02-10
97343,48023,02-10 23:00:00,0.0,02-10
