,fips_code,lim_timestamp,case_5b_prob,date
38395,48009,05-20 19:00:00,0.0,05-20
38396,48009,05-20 20:00:00,0.0,05-20
38397,48009,05-20 21:00:00,0.0,05-20
38398,48009,05-20 22:00:00,0.0,05-20
38399,48009,05-20 23:00:00,0.0,05-20
47136,48011,05-20 00:00:00,0.0,05-20
47137,48011,05-20 01:00:00,0.0,05-20
47138,48011,05-20 02:00:00,0.0,05-20
47139,48011,05-20 03:00:00,0.0,05-20
47140,48011,05-20 04:00:00,0.0,05-20
47141,48011,05-20 05:00:00,0.0,05-20
47142,48011,05-20 06:00:00,0.0,05-20
47143,48011,05-20 07:00:00,0.0,05-20
47144,48011,05-20 08:00:00,0.0,05-20
47145,48011,05-20 09:00:00,0.0,05-20
47146,48011,05-20 10:00:00,0.0,05-20
47147,48011,05-20 11:00:00,0.0,05-20
47148,48011,05-20 12:00:00,0.0,05-20
47149,48011,05-20 13:00:00,0.0,05-20
47150,48011,05-20 14:00:00,0.0,05-20
47151,48011,05-20 15:00:00,0.0,05-20
47152,48011,05-20 16:00:00,0.0059523809523809,05-20
47153,48011,05-20 17:00:00,0.0059523809523809,05-20
47154,48011,05-20 18:00:00,0.0059523809523809,05-20
47155,48011,05-20 19:00:00,0.0059523809523809,05-20
47156,48011,05-20 20:00:00,0.0059523809523809,05-20
47157,48011,05-20 21:00:00,0.0059523809523809,05-20
47158,48011,05-20 22:00:00,0.0059523809523809,05-20
47159,48011,05-20 23:00:00,0.0059523809523809,05-20
55896,48013,05-20 00:00:00,0.0,05-20
55897,48013,05-20 01:00:00,0.0052083333333333,05-20
55898,48013,05-20 02:00:00,0.0052083333333333,05-20
55899,48013,05-20 03:00:00,0.0052083333333333,05-20
55900,48013,05-20 04:00:00,0.0052083333333333,05-20
55901,48013,05-20 05:00:00,0.0052083333333333,05-20
55902,48013,05-20 06:00:00,0.0052083333333333,05-20
55903,48013,05-20 07:00:00,0.0052083333333333,05-20
55904,48013,05-20 08:00:00,0.0052083333333333,05-20
55905,48013,05-20 09:00:00,0.0052083333333333,05-20
55906,48013,05-20 10:00:00,0.0052083333333333,05-20
55907,48013,05-20 11:00:00,0.0052083333333333,05-20
55908,48013,05-20 12:00:00,0.0052083333333333,05-20
55909,48013,05-20 13:00:00,0.0052083333333333,05-20
55910,48013,05-20 14:00:00,0.0052083333333333,05-20
55911,48013,05-20 15:00:00,0.0052083333333333,05-20
55912,48013,05-20 16:00:00,0.0052083333333333,05-20
55913,48013,05-20 17:00:00,0.0052083333333333,05-20
55914,48013,05-20 18:00:00,0.0052083333333333,05-20
55915,48013,05-20 19:00:00,0.0052083333333333,05-20
55916,48013,05-20 20:00:00,0.0,05-20
55917,48013,05-20 21:00:00,0.0,05-20
55918,48013,05-20 22:00:00,0.0,05-20
55919,48013,05-20 23:00:00,0.0,05-20
64656,48015,05-20 00:00:00,0.0,05-20
64657,48015,05-20 01:00:00,0.0,05-20
64658,48015,05-20 02:00:00,0.0,05-20
64659,48015,05-20 03:00:00,0.0,05-20
64660,48015,05-20 04:00:00,0.0,05-20
64661,48015,05-20 05:00:00,0.0,05-20
64662,48015,05-20 06:00:00,0.0,05-20
64663,48015,05-20 07:00:00,0.0,05-20
64664,48015,05-20 08:00:00,0.0,05-20
64665,48015,05-20 09:00:00,0.0,05-20
64666,48015,05-20 10:00:00,0.0,05-20
64667,48015,05-20 11:00:00,0.0,05-20
64668,48015,05-20 12:00:00,0.0,05-20
64669,48015,05-20 13:00:00,0.0,05-20
64670,48015,05-20 14:00:00,0.0,05-20
64671,48015,05-20 15:00:00,0.0,05-20
64672,48015,05-20 16:00:00,0.0,05-20
64673,48015,05-20 17:00:00,0.0,05-20
