fips_code,lim_timestamp,case_4b_prob,date
48001,5/20/25 0:00,0,20-May
48001,5/20/25 1:00,0,20-May
48001,5/20/25 2:00,0,20-May
48001,5/20/25 3:00,0,20-May
48001,5/20/25 4:00,0,20-May
48001,5/20/25 5:00,0,20-May
48001,5/20/25 6:00,0,20-May
48001,5/20/25 7:00,0,20-May
48001,5/20/25 8:00,0,20-May
48001,5/20/25 9:00,0,20-May
48001,5/20/25 10:00,0,20-May
48001,5/20/25 11:00,0,20-May
48001,5/20/25 12:00,0,20-May
48001,5/20/25 13:00,0,20-May
48001,5/20/25 14:00,0,20-May
48001,5/20/25 15:00,0,20-May
48001,5/20/25 16:00,0,20-May
48001,5/20/25 17:00,0,20-May
48001,5/20/25 18:00,0,20-May
48001,5/20/25 19:00,0,20-May
48001,5/20/25 20:00,0,20-May
48001,5/20/25 21:00,0,20-May
48001,5/20/25 22:00,0,20-May
48001,5/20/25 23:00,0,20-May
48003,5/20/25 0:00,0,20-May
48003,5/20/25 1:00,0,20-May
48003,5/20/25 2:00,0,20-May
48003,5/20/25 3:00,0,20-May
48003,5/20/25 4:00,0,20-May
48003,5/20/25 5:00,0,20-May
48003,5/20/25 6:00,0,20-May
48003,5/20/25 7:00,0,20-May
48003,5/20/25 8:00,0,20-May
48003,5/20/25 9:00,0,20-May
48003,5/20/25 10:00,0,20-May
48003,5/20/25 11:00,0,20-May
48003,5/20/25 12:00,0,20-May
48003,5/20/25 13:00,0,20-May
48003,5/20/25 14:00,0,20-May
48003,5/20/25 15:00,0,20-May
48003,5/20/25 16:00,0,20-May
48003,5/20/25 17:00,0,20-May
48003,5/20/25 18:00,0,20-May
48003,5/20/25 19:00,0,20-May
48003,5/20/25 20:00,0,20-May
48003,5/20/25 21:00,0,20-May
48003,5/20/25 22:00,0,20-May
48003,5/20/25 23:00,0,20-May
48005,5/20/25 0:00,0,20-May
48005,5/20/25 1:00,0,20-May
48005,5/20/25 2:00,0,20-May
48005,5/20/25 3:00,0,20-May
48005,5/20/25 4:00,0,20-May
48005,5/20/25 5:00,0,20-May
48005,5/20/25 6:00,0,20-May
48005,5/20/25 7:00,0,20-May
48005,5/20/25 8:00,0,20-May
48005,5/20/25 9:00,0,20-May
48005,5/20/25 10:00,0,20-May
48005,5/20/25 11:00,0,20-May
48005,5/20/25 12:00,0,20-May
48005,5/20/25 13:00,0,20-May
48005,5/20/25 14:00,0,20-May
48005,5/20/25 15:00,0,20-May
48005,5/20/25 16:00,0,20-May
48005,5/20/25 17:00,0,20-May
48005,5/20/25 18:00,0,20-May
48005,5/20/25 19:00,0,20-May
48005,5/20/25 20:00,0,20-May
48005,5/20/25 21:00,0,20-May
48005,5/20/25 22:00,0,20-May
48005,5/20/25 23:00,0,20-May
48007,5/20/25 0:00,0,20-May
48007,5/20/25 1:00,0,20-May
48007,5/20/25 2:00,0,20-May
48007,5/20/25 3:00,0,20-May
48007,5/20/25 4:00,0,20-May
48007,5/20/25 5:00,0,20-May
48007,5/20/25 6:00,0,20-May
48007,5/20/25 7:00,0,20-May
48007,5/20/25 8:00,0,20-May
48007,5/20/25 9:00,0,20-May
48007,5/20/25 10:00,0,20-May
48007,5/20/25 11:00,0,20-May
48007,5/20/25 12:00,0,20-May
48007,5/20/25 13:00,0,20-May
48007,5/20/25 14:00,0,20-May
48007,5/20/25 15:00,0,20-May
