county_number,County,FIPS,,
176,Newton,48351,,
177,Nolan,48353,,
178,Nueces,48355,,
179,Ochiltree,48357,,
180,Oldham,48359,,
181,Orange,48361,,
182,Palo Pinto,48363,,
183,Panola,48365,,
184,Parker,48367,,
185,Parmer,48369,,
186,Pecos,48371,,
187,Polk,48373,,
188,Potter,48375,,
189,Presidio,48377,,
190,Rains,48379,,
191,Randall,48381,,
192,Reagan,48383,,
193,Real,48385,,
194,Red River,48387,,
195,Reeves,48389,,
196,Refugio,48391,,
197,Roberts,48393,,
198,Robertson,48395,,
199,Rockwall,48397,,
200,Runnels,48399,,
201,Rusk,48401,,
202,Sabine,48403,,
203,San Augustine,48405,,
204,San Jacinto,48407,,
205,San Patricio,48409,,
206,San Saba,48411,,
207,Schleicher,48413,,
208,Scurry,48415,,
209,Shackelford,48417,,
210,Shelby,48419,,
211,Sherman,48421,,
212,Smith,48423,,
213,Somervell,48425,,
214,Starr,48427,,
215,Stephens,48429,,
216,Sterling,48431,,
217,Stonewall,48433,,
218,Sutton,48435,,
219,Swisher,48437,,
220,Tarrant,48439,,
221,Taylor,48441,,
222,Terrell,48443,,
223,Terry,48445,,
224,Throckmorton,48447,,
225,Titus,48449,,
226,Tom Green,48451,,
227,Travis,48453,,
228,Trinity,48455,,
229,Tyler,48457,,
230,Upshur,48459,,
231,Upton,48461,,
232,Uvalde,48463,,
233,Val Verde,48465,,
234,Van Zandt,48467,,
235,Victoria,48469,,
236,Walker,48471,,
237,Waller,48473,,
238,Ward,48475,,
239,Washington,48477,,
240,Webb,48479,,
241,Wharton,48481,,
242,Wheeler,48483,,
243,Wichita,48485,,
244,Wilbarger,48487,,
245,Willacy,48489,,
246,Williamson,48491,,
247,Wilson,48493,,
248,Winkler,48495,,
249,Wise,48497,,
250,Wood,48499,,
251,Yoakum,48501,,
252,Young,48503,,
253,Zapata,48505,,
254,Zavala,48507,,
