GEN UID,Bus ID,Unit Type,Fuel,MW Inj,MVAR Inj,V Setpoint p.u.,PMax MW,PMin MW,QMax MVAR,QMin MVAR,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Fuel Price $/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,Output_pct_4,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,HR_incr_4
G1_R1,1,CC,G,9402.220126191993,0,1,11963.600000000002,0,300,-300,8,6,1,,,,,,,0,1,,,,,,,,,,
G2_R1,1,CT,C,4816.882001859995,0,1,6066.7,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G3_R1,1,COAL,C,0.0,0,1,0.0,0,300,-300,12,24,1,,,,,,,0,1,,,,,,,,,,
G4_R1,1,COAL,C,55.000402,0,1,55.0,0,300,-300,12,24,1,,,,,,,0,1,,,,,,,,,,
G5_R1,1,COAL,C,0.0,0,1,0.0,0,300,-300,12,24,1,,,,,,,0,1,,,,,,,,,,
G6_R1,1,BIO,B,0.0,0,1,260.2999999999999,0,300,-300,7,7,1,,,,,,,0,1,,,,,,,,,,
G7_R1,1,NUC,N,0.0,0,1,0.0,0,300,-300,48,48,1,,,,,,,0,1,,,,,,,,,,
G8_R1,1,OGS,G,130.05078836,0,1,5017.699999999997,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G9_R1,1,COAL,C,0.0,0,1,0.0,0,300,-300,12,24,1,,,,,,,0,1,,,,,,,,,,
G10_R1,1,LFILL,G,0.0,0,1,186.89999999999992,0,300,-300,6,7,1,,,,,,,0,1,,,,,,,,,,
G11_R1,1,WIND,W,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
Wind_R1,1,WIND,W,1726.1476170530007,0,1,3972.3999999999996,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G13_R1,1,PV,S,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G14_R1,1,PV,S,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
Solar_R1,1,PV,S,6425.859329418985,0,1,9147.550603784048,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
Hydro_R1,1,HYDRO,H,360.8026274399999,0,1,1082.5999999999997,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G17_R1,1,HYDRO,H,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G18_R1,1,HYDRO,H,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G19_R1,1,HYDRO,H,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G20_R1,1,HYDRO,H,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G21_R1,1,HYDRO,H,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G22_R1,1,GEO,GEO,927.2068495699996,0,1,927.2,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G1_R2,2,CC,G,7081.000226968,0,1,8593.699999999999,0,300,-300,8,6,1,,,,,,,0,1,,,,,,,,,,
G2_R2,2,CT,C,2548.348069915998,0,1,3492.400000000001,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G3_R2,2,COAL,C,0.0,0,1,0.0,0,300,-300,12,24,1,,,,,,,0,1,,,,,,,,,,
G4_R2,2,COAL,C,0.0,0,1,0.0,0,300,-300,12,24,1,,,,,,,0,1,,,,,,,,,,
G5_R2,2,COAL,C,0.0,0,1,0.0,0,300,-300,12,24,1,,,,,,,0,1,,,,,,,,,,
G6_R2,2,BIO,B,0.0,0,1,323.10000000000025,0,300,-300,7,7,1,,,,,,,0,1,,,,,,,,,,
G7_R2,2,NUC,N,2323.01716,0,1,2323.0,0,300,-300,48,48,1,,,,,,,0,1,,,,,,,,,,
G8_R2,2,OGS,G,71.68282402,0,1,501.7000000000002,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G9_R2,2,COAL,C,0.0,0,1,0.0,0,300,-300,12,24,1,,,,,,,0,1,,,,,,,,,,
G10_R2,2,LFILL,G,0.0,0,1,98.69999999999996,0,300,-300,6,7,1,,,,,,,0,1,,,,,,,,,,
G11_R2,2,WIND,W,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
Wind_R2,2,WIND,W,493.90513864999997,0,1,1136.6000000000001,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G13_R2,2,PV,S,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G14_R2,2,PV,S,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
Solar_R2,2,PV,S,2482.480997934998,0,1,3533.9429930400047,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
Hydro_R2,2,HYDRO,H,2481.2182593380016,0,1,7443.699999999998,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G17_R2,2,HYDRO,H,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G18_R2,2,HYDRO,H,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G19_R2,2,HYDRO,H,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G20_R2,2,HYDRO,H,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G21_R2,2,HYDRO,H,0.0,0,1,0.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G22_R2,2,GEO,GEO,165.0012189,0,1,165.0,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G1_R3,3,CC,G,10182.8,0,1,10182.8,0,300,-300,8,6,1,,,,,,,0,1,,,,,,,,,,
G2_R3,3,CT,C,3003.2000000000003,0,1,3003.2000000000003,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G3_R3,3,COAL,C,0.0,0,1,0.0,0,300,-300,12,24,1,,,,,,,0,1,,,,,,,,,,
G4_R3,3,COAL,C,3167.4,0,1,3167.4,0,300,-300,12,24,1,,,,,,,0,1,,,,,,,,,,
G5_R3,3,COAL,C,0.0,0,1,0.0,0,300,-300,12,24,1,,,,,,,0,1,,,,,,,,,,
G6_R3,3,BIO,B,24.7,0,1,24.7,0,300,-300,7,7,1,,,,,,,0,1,,,,,,,,,,
G7_R3,3,NUC,N,3937.0,0,1,3937.0,0,300,-300,48,48,1,,,,,,,0,1,,,,,,,,,,
G8_R3,3,OGS,G,1681.8999999999999,0,1,1681.8999999999999,0,300,-300,1,1,1,,,,,,,0,1,,,,,,,,,,
G9_R3,3,COAL,C,0.0,0,1,0.0,0,300,-300,12,24,1,,,,,,,0,1,,,,,,,,,,
